NOM	ADREÇA	DISTRICTE	C. P.	POBLACIO	PAIS	Telèfon 1	Telèfon 2	WEB	E-MAIL	INFO EXTRA 1	INFO EXTRA 2	INFO EXTRA 3
The Philharmonic	Carrer Mallorca 204	Eixample	08036	BARCELONA	ESPANYA	+34 934511153						
Bar Cerveseria Raïm	Carrer Muntaner 75	Eixample	08011	BARCELONA	ESPANYA	+34 934535958						
Bar Restaurant Cuatro Hermanos	Carrer Est 9	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 655898309	+34 660103126					
Bar Restaurant La Perla - Pg Exposició	Pg Exposició 62	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 933292052						
Bar el Larguero Cuevas	Espronceda 0281	Sant Martí	08018	BARCELONA	ESPANYA	+34 933030821						
Restaurants Casa Eladio	Carrer Cartagena 328	Eixample	08025	BARCELONA	ESPANYA	+34 934550199						
Pastisseria Caelum	Palla 0008	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933026993	+34 933026993					
Restaurant Xinès Rosi Hu	Carrer Viladomat 73	Eixample	08015	BARCELONA	ESPANYA	+34 933251048	+34 933251048					
Bar Bocatta - Pg Sant Antoni	Pg Sant Antoni 1	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934911094	+34 934911094	http://www.bocatta.es				
Restaurant Bodega Casa Lucio	Carrer Viladomat 59	Eixample	08015	BARCELONA	ESPANYA	+34 934244401						
Restaurant Braseria La Bodegueta del Poble-sec	Carrer Blai 47	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934420846						
Restaurant Balmes 413	Carrer Balmes 413 bxs	Sarrià-Sant Gervasi	08022	BARCELONA	ESPANYA	+34 932114975	+34 934340758		rtbalmes@telefonica.net			
Restaurant Fresh & Ready - Fontanella	Carrer Fontanella 14	Ciutat Vella	08010	BARCELONA	ESPANYA	+34 933183619		http://www.freshandready.net				
Restaurant Bunga Raya	Carrer Assaonadors 7	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933193169						
Bar Restaurant Comercio	Carrer Comerç 22	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933199039						
Restaurant L' Opalina	Carrer Riego 25	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934218474						
Restaurant Corea Seoul	Av Gaudí 70	Eixample	08025	BARCELONA	ESPANYA	+34 934502617		http://www.restaurantcoreaseoul.com				
Restaurant Els Peixets	Carrer Parlament 34	Eixample	08015	BARCELONA	ESPANYA	+34 933296862						
Restaurant Cafeteria La Llar de les Torrades	Carrer Entença 62	Eixample	08015	BARCELONA	ESPANYA	+34 933257872						
Restaurant El Racó d'en José Luis I	Carrer Salvador Espriu 61	Sant Martí	08005	BARCELONA	ESPANYA	+34 932219406	+34 902104143	http://www.accua.com				
Bar Restaurant Ondarra-Berri	Ptge Marimon 7	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 934142055						
Restaurant Pizzeria Sabor d'Italia	Carrer Vallirana 74	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932174407		http://www.larutadelabuenamesa.com				
Bar Restaurant Au Bar	Carrer Or 21	Gràcia	08012	BARCELONA	ESPANYA	+34 934156087						
Restaurant Sixties Bcn	Carrer Doctor Joaquim Pou 2	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 902400046						
Café Galeria d'Art Nou 3	Doctor Dou 12	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 934120847		http://www.ctv.es/ebano/nou3.htm	nou3@hotmail.com			
Bar La Coctelera	Pintor Mir 0002	Nou Barris	08031	BARCELONA	ESPANYA	+34 933584734						
Restaurant Txapela Euskal Taberna	Pg Gràcia 8-10	Eixample	08007	BARCELONA	ESPANYA	+34 934120289	+34 934122478	http://www.angrup.com				
Bar Los Cipreses	Pg Pineda 47	Nou Barris	08033	BARCELONA	ESPANYA							
Beer & Coffee	Fontanella 0002	Ciutat Vella	08010	BARCELONA	ESPANYA	+34 933013620						
Bar Bahia	Escudellers 0046	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933185473						
Restaurant El Edén de Laforja	Carrer Laforja 3	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932174556	+34 934160104	http://www.eledendelaforja.com	info@eledendelaforja.com			
Restaurant Singlot	Carrer Escorial 50	Gràcia	08024	BARCELONA	ESPANYA	+34 932843045						
Restaurant Pub George & Dragon	Carrer Diputació 269	Eixample	08007	BARCELONA	ESPANYA	+34 934882684						
Restaurant Maitea Taberna	Carrer Casanova 157	Eixample	08036	BARCELONA	ESPANYA	+34 933219790	+34 934395107					
Café Dada	Muntaner 69	Eixample	08011	BARCELONA	ESPANYA	+34 934535513						
Restaurant Planet Greece	Carrer París 147 bxs	Eixample	08036	BARCELONA	ESPANYA	+34 934102821						
Restaurant Friends	Deu i Mata 125	Les Corts	08029	BARCELONA	ESPANYA	+34 934393556						
Restaurant Suborn	Carrer Ribera 18	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933101110						
Xarcuteria Galobart	Carrer Mallorca 0373 bxs	Eixample	08013	BARCELONA	ESPANYA	+34 934578077		http://www.galobartnet.com	galobart@galobartnet.com			
Restaurant Cap Sa Sal	Carrer Almirall Aixada 15	Ciutat Vella	08003	BARCELONA	ESPANYA							
Cafeteria Bracafé - Sant Antoni Maria Claret	Carrer Sant Antoni Maria Claret 39	Gràcia	08025	BARCELONA	ESPANYA	+34 932070796		http://www.bracafe.com				
Restaurant Japonès Kome Kome	Carrer Marina 240	Eixample	08013	BARCELONA	ESPANYA	+34 932658996						
Restaurant Racó del Sikkim	Carrer Padilla 349	Horta-Guinardó	08025	BARCELONA	ESPANYA	+34 934557083						
Restaurant Costa Gallega	Pg Gràcia 71	Eixample	08008	BARCELONA	ESPANYA	+34 932153141	+34 932150754	http://www.monchos.com	info@monchos.com			
Bar Restaurant Tròpic	Carrer Balmes 106	Eixample	08008	BARCELONA	ESPANYA	+34 932151043						
El Rebost de Balmes	Carrer Balmes 24	Eixample	08007	BARCELONA	ESPANYA	+34 933172248	+34 932095312					
Restaurant El Caliu	Carrer Olzinelles 13	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934323896						
Restaurant Kikiriki	G.V. Corts Catalanes 335	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934252650	+34 934231756		groupkikiriki@mesenger.com			
Restaurant Castro	Carrer Casanova 85 Baix	Eixample	08011	BARCELONA	ESPANYA	+34 933236784		http://www.castrorestaurant.com				
Restaurant Cerveseria El Pesebre	Carrer París 135	Eixample	08036	BARCELONA	ESPANYA	+34 933226914						
Restaurant  Xinès Palau Nord	Carrer Sicília 93-97	Eixample	08013	BARCELONA	ESPANYA	+34 932653713						
Restaurant Neoclàsic	G.V. Corts Catalanes 692	Eixample	08010	BARCELONA	ESPANYA	+34 932652866	+34 932652866					
Bar musical Faristol	València 335	Eixample	08009	BARCELONA	ESPANYA	+34 932075665						
Restaurant Amaltea	Carrer Diputació 164	Eixample	08011	BARCELONA	ESPANYA	+34 934548613		http://www.amalteaygovinda.com	amaltea@arrakis.es			
Restaurant Euskal Basea S L	Carrer Basea 8	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933199993	+34 932684886	http://www.sagardi.com	reservas@sagardi.com			
Xavi Bar	Carrer Pere IV 94	Sant Martí	08005	BARCELONA	ESPANYA	+34 934854836						
Bar Restaurant Cal Pere	Carrer Rector Triadó 14	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934249692						
Restaurant Dahabi	Pl Universitat 1	Eixample	08007	BARCELONA	ESPANYA	+34 934514339	+34 934512484					
Cafeteria Restaurant Buenas Migas - Pl Bonsuccés	Pl Bonsuccés 6	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933183708		http://www.buenasmigas.com				
Suite	Casanova 81-83	Eixample	08011	BARCELONA	ESPANYA							
Bar cafereria Il Caffé di Roma - Via Laietana	Via Laietana 0044	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933190036						
Restaurant Jabugo	Carrer Consell de Cent 291	Eixample	08007	BARCELONA	ESPANYA	+34 934511928	+34 934513169					
Restaurant Pa amb Tomàquet	Carrer València 329	Eixample	08009	BARCELONA	ESPANYA							
Bar Restaurant Elisabets	Carrer Elisabets 2	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933175826	+34 932656275					
Restaurant Abrevadero	Carrer Vila i Vilà 77	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934413893	+34 934428374		abrevadero@telefonica.net	+34 934428244	+34 934428244	info@hostalabrevadero.com
Restaurant Mulet	Carrer València 350 bxs	Eixample	08009	BARCELONA	ESPANYA	+34 934591723	+34 934586269	http://www.restaurantmulet.com	rodri@restaurantmulet.com			
Restaurant Blue Mandalay	Carrer Provença 330	Eixample	08037	BARCELONA	ESPANYA	+34 934571994	+34 934881171	http://www.mandalaycafe.net				
Restaurant Txikiteo	Carrer Josep Anselm Clavé 7	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 934124157	+34 934126598					
Restaurant Taberna Bodegón del Norte Marzán	Carrer València 207	Eixample	08007	BARCELONA	ESPANYA	+34 933232645	+34 933232645	http://www.bodegondelnortemarzan.com				
Ristorante Inmortales Trattoria Originale	Carrer Marc Aureli 27	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934145685						
Bar Restaurant Norbàltic	Carrer Consell de Cent 239	Eixample	08011	BARCELONA	ESPANYA	+34 934514271						
Restaurant La Nueva Oficina	Carrer Sant Antoni Maria Claret 129	Horta-Guinardó	08025	BARCELONA	ESPANYA	+34 934350574						
Restaurant El Gran Cafè	Carrer Avinyó 9	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933187986	+34 934120742	http://www.grupcacheiro.com				
Restaurant Maria Cristina	Carrer Provença 271	Eixample	08008	BARCELONA	ESPANYA	+34 932153237	+34 932158323					
Restaurant El Clandestino	Carrer Jaume Piquet 1	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 932041036		http://www.elclandestinoclub.com				
Restaurant O Meu Lar	Carrer Margarit 24	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 933297074		http://www.omeular.es	info@omeular.es			
Bar Restaurant Obarazal Mundial	Av Paral.lel 99	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934413071	+34 934413071					
El Pebrot i El Petit Cargol	Carrer Alcolea 18	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934316870						
Restaurant Totum	G.V. Corts Catalanes 630	Eixample	08007	BARCELONA	ESPANYA	+34 933426040	+34 933426043					
Bar Restaurant Tapa & Àpat	Carrer la Rambla 15	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933175052						
Bar Restaurant A' Ruta Galega Casa Toriano	Carrer Clot 78	Sant Martí	08018	BARCELONA	ESPANYA	+34 932450009						
G Café	Carrer Muntaner 24	Eixample	08011	BARCELONA	ESPANYA	+34 934516536						
Restaurant Cocteleria La Fondue de Gràcia	Carrer Doctor Rizal 16	Gràcia	08006	BARCELONA	ESPANYA	+34 932371326						
Jamaica Coffee Shop - Rbla Catalunya	Rbla Catalunya 131	Eixample	08008	BARCELONA	ESPANYA	+34 932171123		http://www.jamaicacoffeeshop.es				
Restaurant La Cocotte Minute	Pg Born 16	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933191734						
Restaurant Pic-Zas	Av Paral.lel 94	Eixample	08015	BARCELONA	ESPANYA	+34 934427663						
Restaurant El Pebre Blau	Carrer Banys Vells 21	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933191308						
Restaurant Betawi	Carrer Montsió 4-6	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 934126264		http://www.restaurantbetawi.com				
Restaurant Dionisos - Marquès d'Argentera	Av Marquès de l'Argentera 27	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932687690	+34 932682472	http://www.dionisos-bcn.com	reservas@dionisos-bcn.com			
Gelateria Dino - La Rambla	la Rambla 0054	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933020364						
Restaurant El Suquet de l'Almirall	Pg J Borbó Comte Barcelona 65	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932216233			suquetalmirall@terra.es			
Restaurant Kataplass	Carrer Girona 114	Eixample	08009	BARCELONA	ESPANYA	+34 934591793						
Bar Restaurant Nicasso	Carrer Vigatans 8	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933105694						
Restaurant Lonja de Tapas - Pla Palau	Pla Palau 7	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932687258	+34 932687259	http://www.lonjadetapas.com	info@lonjadetapas.com			
Bar Restaurant Castilla -  La Mancha -  El Asador	Carrer Marquès de Campo Sagrado 5-7	Eixample	08015	BARCELONA	ESPANYA	+34 934427651						
Bar Teteria  Arabe La Fibula	Carrer Blai 64	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934424835	+34 934410440					
Restaurant Xinès Chun Yue	Rbla Poblenou 65	Sant Martí	08005	BARCELONA	ESPANYA	+34 933093112	+34 933003696					
Tasca es Bandoler	Carrer Santes Creus 13	Horta-Guinardó	08031	BARCELONA	ESPANYA	+34 934209995						
The Bagels & Coffee Company	Via Laietana 0032	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933191554						
Restaurant Meixon Vallespir	Carrer Vallespir 86-88 bxs	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934903516						
Restaurant El Boliche del Gordo Cabrera	Carrer Consell de Cent 338	Eixample	08009	BARCELONA	ESPANYA	+34 932156881	+34 934879369					
Restaurant El Camarote de Tomás	Carrer Lleida 3	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934266736						
Restaurant La Table du Pain	Rda Universitat 20	Eixample	08007	BARCELONA	ESPANYA	+34 933186780	+34 933170021					
Bar Restaurant Wonka	Carrer Francisco Giner 6	Gràcia	08012	BARCELONA	ESPANYA	+34 932173730		http://www.barcewonka.com				
Bar Restaurant El Taxidermista	Pl Reial 8	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 934124536	+34 933170697		restaurant@xidermista.com	+34 933015173		
Cafeteria Restaurant Mamacafé	Carrer Doctor Dou 10	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933012940			merius27@hotmail.com			
Restaurant Passió Ibèrica	Carrer Béjar 66	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934260515	+34 934260697					
Restaurant Casa Cristòfol	Pl Marià Brossa 14	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933456331		http://www.casacristofol.net				
Restaurant O Casiña	Carrer Dos de Maig 302	Sant Martí	08025	BARCELONA	ESPANYA	+34 934353026						
Restaurant Master's	Carrer Badajoz 27	Sant Martí	08005	BARCELONA	ESPANYA	+34 932254131						
Restaurant Japonès El Japonés	Ptge Concepció 2-LB	Eixample	08008	BARCELONA	ESPANYA	+34 934872592	+34 934875329	http://www.grupotragaluz.com	grupotragaluz@grupotragaluz.com			
Restaurant Il Rigoletto da Ciro	Carrer Còrsega 197	Eixample	08036	BARCELONA	ESPANYA	+34 934108084	+34 934210259	http://www.ilrigolettodaciro.com	rigolettodaciro@wanadoo.es			
Jamaica Coffee Shop - Diagonal Mar	Av Diagonal 33-35 3r	Sant Martí	08019	BARCELONA	ESPANYA	+34 933562476		http://www.jamaicacoffeeshop.es				
Restaurant l'Antic Forn de Villarroel	Carrer Villarroel 182	Eixample	08036	BARCELONA	ESPANYA	+34 934300826	+34 934300826	http://www.lanticfornvillarroel.com				
Restaurant Lahore	Carrer Torrent de l'Olla 159 bxs	Gràcia	08012	BARCELONA	ESPANYA	+34 932179331						
Restaurant Café Doré	G.V. Corts Catalanes 576	Eixample	08011	BARCELONA	ESPANYA	+34 934510656						
Restaurant Carpi Pizza	Carrer Ausona 81	Sant Andreu	08033	BARCELONA	ESPANYA	+34 932740035						
Restaurant Negro Rojo	Av Diagonal 640 bxs	Les Corts	08017	BARCELONA	ESPANYA	+34 934059444		http://www.grupotragaluz.com		http://www.negrodeltragaluz.com		
Restaurant Le Tre Venezie	Pl Duc de Medinaceli 4	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933424252	+34 933424253					
Restaurant Rita Blue	Pl Sant Agustí 3	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933424086	+34 932411996	http://www.ritablue.com	info@ritablue.com			
Restaurant Japonès Tokioto	Carrer Roger 2-4	Sants-Montjuïc	08028	BARCELONA	ESPANYA	+34 933339171		http://www.tokioto.com				
Restaurant Reina Selecció	Carrer Mallorca 202	Eixample	08036	BARCELONA	ESPANYA	+34 934526450	+34 934526451	http://www.regalosreina.com	reina@regalosreina.com			
Restaurant Nuba	Carrer Doctor Fleming 12-14	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 932411720	+34 900106822	http://www.nubabcn.com	info@nubabcn.com	+34 934144713		
Restaurant La Taste	Carrer Santjoanistes 8-10	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934152281						
Restaurant A las Brasas	Carrer Nàpols 334	Gràcia	08025	BARCELONA	ESPANYA	+34 934593684						
Bar Restaurant Fa Camdela	Carrer Marquès de Sentmenat 44	Les Corts	08014	BARCELONA	ESPANYA	+34 934305265						
Restaurant Pousada Caballito Blanco	Carrer Larrard 30	Gràcia	08024	BARCELONA	ESPANYA	+34 932102614	+34 932102590		cuneliquiroge@hotmail.com			
Restaurant Libentia	Carrer Còrsega 537	Eixample	08025	BARCELONA	ESPANYA	+34 934358048						
Bar Restaurant A Taula	Carrer Entença 206	Eixample	08029	BARCELONA	ESPANYA	+34 933221365		http://www.ataularestaurant.com	info@ataularesturant.com			
Restaurant Xinès La Montaña de Oro	Carrer Provença 357	Eixample	08037	BARCELONA	ESPANYA	+34 934573330						
Bar Restaurant La Llorona	Carrer Torrent de l'Olla 99	Gràcia	08012	BARCELONA	ESPANYA	+34 932183498						
Restaurant L'envers du Decor	Carrer Viladomat 240 bxs	Eixample	08029	BARCELONA	ESPANYA	+34 934391673						
Restaurant La Flauta II	Carrer Balmes 164-166 bxs	Eixample	08008	BARCELONA	ESPANYA	+34 932385348	+34 934155186					
Restaurant El Refugio del Puerto	Carrer Judici 4	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932254469						
Restaurant Casa Delfín	Pg Born 36	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933195088						
Bar 8 i Vuit	Floridablanca 88	Eixample	08015	BARCELONA	ESPANYA	+34 934241989						
Restaurant El Mussol - Aragó	Carrer Aragó 261	Eixample	08007	BARCELONA	ESPANYA	+34 934876151		http://www.angrup.com				
Restaurant Ambar Café	Carrer Sardenya 48-62	Sant Martí	08005	BARCELONA	ESPANYA	+34 932240077						
Restaurant El Sortidor	Pl Sortidor 5	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 935188544		http://www.sortidor.com				
Bar Restaurant El Escalón	Carrer Aribau 265	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 934143917						
Restaurant El Desvan Bar Saloon	Ptge Vila i Rosell 4	Horta-Guinardó	08032	BARCELONA	ESPANYA	+34 933572222						
Restaurant El Racó del Taulat	Carrer Taulat 44	Sant Martí	08005	BARCELONA	ESPANYA	+34 932250450		http://www.racodeltaulat.com				
Restaurant Sikkim	Pl Comercial 1	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932684313	+34 932684313	http://www.sikkimbcn.com				
Bar Pili	Carrer Joaquín Costa 55	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 606502123						
Bornet Bcn	Carrer Barra de Ferro 3	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932681507			bornet@bornet-bcn.com			
Bar Retruc	G.V. Corts Catalanes 399	Eixample	08015	BARCELONA	ESPANYA	+34 934231659			retrucsonia@gmail.com			
Cafeteria Bracafé - Comte d'Urgell	Carrer Comte d'Urgell 113	Eixample	08011	BARCELONA	ESPANYA	+34 934513435		http://www.bracafe.com				
Bar Restaurant Mel i Sal	Carrer Muntaner 270	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932411052	+34 932094772					
Ristorante De Gustibus Italiae	Carrer Ricardo Calvo 13	Sarrià-Sant Gervasi	08022	BARCELONA	ESPANYA	+34 934189849	+34 934189849					
Dunkin Donuts - Metro Universitat	E.M. Universitat	Eixample	08007	BARCELONA	ESPANYA	+34 933184088		http://www.dunkindonuts.com				
Restaurant Fil Manila	Carrer Ramelleres 3	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933186487						
Bar Louise Se Va	Pl Eivissa 11	Horta-Guinardó	08032	BARCELONA	ESPANYA	+34 934072033						
Talls i Tallats	Sant Jordi 3	Sants-Montjuïc	08028	BARCELONA	ESPANYA	+34 933306158						
Restaurant Japonès Fuji	Carrer Balmes 203	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932176155						
Restaurant Taberna Berriketa	G.V. Corts Catalanes 596	Eixample	08007	BARCELONA	ESPANYA	+34 933424144	+34 934126384	http://www.berriketa.com	berriketa@granadosgestion.com	berriketa@berriketa.com		
Restaurant Japonès Kin Sushi Bar	Carrer Provença 97	Eixample	08029	BARCELONA	ESPANYA	+34 933630791		http://www.kinsushibar.com				
Restaurant La Caravana Al Kafela	Carrer Mozart 15	Gràcia	08012	BARCELONA	ESPANYA							
Restaurant Xinès Yindu	Av Josep Tarradellas 20-30 bxs	Eixample	08029	BARCELONA	ESPANYA	+34 934051883	+34 934195673					
Restaurant El Racó - Rbla Catalunya	Rbla Catalunya 25	Eixample	08007	BARCELONA	ESPANYA	+34 933175688	+34 933175628					
Bar Cafè Ibiza	Pg Isabel II 4	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933191988		http://www.salamonasterio.com				
Bar Cafeteria Tootsie	Carrer Calàbria 29 bxs	Eixample	08015	BARCELONA	ESPANYA	+34 934234768						
Bar La Coctelera	Indústria 0079	Gràcia	08025	BARCELONA	ESPANYA	+34 934591960						
Cibercafè Travel Bar	Carrer Boqueria 27	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933425252		http://www.travelbar.com	info@travelbar.com			
Bar Restaurant Bilbao Berria	Pl Nova 3	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 934126764	+34 933170124					
Restaurant  Pizzeria Caputxes	Carrer Caputxes 4	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933197757						
Bar Restaurant Las Fernández	Carrer Carretes 11 bxs	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 934432043		http://www.lasfernandez.com	bibianina@hotmail.com			
Restaurant Iroco	Carrer Consell de Cent 487	Eixample	08013	BARCELONA	ESPANYA	+34 932652803						
Restaurant Atípic	Carrer Bruc 79	Eixample	08009	BARCELONA	ESPANYA	+34 932155106						
Cafeteria Restaurant El Sandwich Gigante	Carrer Mallorca 601	Sant Martí	08026	BARCELONA	ESPANYA	+34 934501287						
Restaurant Blau	Carrer Londres 89	Eixample	08036	BARCELONA	ESPANYA	+34 934193032						
Restaurant  Bar El Choquito	Carrer la Rambla 98	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933015031	+34 933425392	http://www.grupoamt.es	grupoamt@grupoamt.es			
Restaurant La Tuca	Carrer Rosselló 147 bxs	Eixample	08036	BARCELONA	ESPANYA	+34 933210141						
Santé Café	Comte d'Urgell 171	Eixample	08036	BARCELONA	ESPANYA	+34 933237832						
Restaurant Xinès El Jardín Rosa	Av Mistral 54	Eixample	08015	BARCELONA	ESPANYA	+34 933257195						
Restaurant Zeinab	Carrer Verdi 31	Gràcia	08012	BARCELONA	ESPANYA	+34 932378870						
Restaurant El Restaurant de l'Anna	Carrer Aragó 131 bxs	Eixample	08015	BARCELONA	ESPANYA	+34 934535959						
Bar Restaurant Mikel Etxea II	Carrer la Rambla 45	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933014062	+34 933425392					
Bar Restaurant Micky's	Carrer la Rambla 23	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933181931						
Bar Restaurant Bliss	Pl Sant Just 4	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 932681022		http://www.bliss.es				
Café Restaurant El Mirall	Carrer Villarroel 107	Eixample	08011	BARCELONA	ESPANYA	+34 933232749						
Restaurant Xinés Molina	Carrer Guillem Tell 18	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932380365	+34 932174075					
Restaurant Japonès Shibui	Carrer Comte d'Urgell 272-274	Eixample	08036	BARCELONA	ESPANYA	+34 933219004	+34 933633657	http://www.shibuirestaurantes.com	info@shibuirestaurantes.com			
Bar Restaurant Arc Cafè	Carabassa 19	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933025204		http://www.arccafe.com	arccafe@hotmail.com			
Restaurant Iposa	Carrer Floristes de la Rambla 14	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933186086						
Restaurant Lonja de Tapas - Plta. de Montcada	Plta Montcada 5	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933151447		http://www.lonjadetapas.com				
Restaurant Tó Bar	Carrer Bruc 62	Eixample	08009	BARCELONA	ESPANYA							
Restaurant El Portico	Carrer Grassot 15	Gràcia	08025	BARCELONA	ESPANYA	+34 932072103						
Restaurant Central Catalana del Pollastre	Carrer Padilla 323	Eixample	08025	BARCELONA	ESPANYA	+34 934360010						
Fann	Av Diagonal 536	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934158149	+34 934158149	http://www.webfann.com	mcuadro@infonegocio.com			
Bar Restaurant El Porquet	Carrer Indústria 46	Gràcia	08025	BARCELONA	ESPANYA	+34 934579380						
Bar El Euro	Pg Fabra i Puig 335	Nou Barris	08031	BARCELONA	ESPANYA	+34 934071133						
Restaurant Ay Caramba !	Carrer Santaló 85	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932000106		http://www.aycaramba.net	reserva@aycaramba.net			
Restaurant Silvestre	Carrer Santaló 101	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932414031	+34 932414031	http://www.restaurante-silvestre.com	restsilvestre@wanadoo.es			
Restaurant I Buoni Amici	Carrer Casanova 193	Eixample	08036	BARCELONA	ESPANYA	+34 934396816	+34 933224651	http://www.ibuoniamici.es	restaurante@ibuoniamici.es			
Restaurant El Principal	Carrer Provença 286-288	Eixample	08008	BARCELONA	ESPANYA	+34 932720845	+34 932720847	http://www.grupotragaluz.com	elprincipal@grupotragaluz.com			
Bar Restaurant Sukaldari	Carrer la Rambla 87	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933181531	+34 933425392					
Restaurant Anfiteatro	Av Litoral 9994	Sant Martí	08005	BARCELONA	ESPANYA	+34 659695345	+34 934571419	http://www.accua.com/anfiteatro	anfiteatrobcn@telefonica.net			
Restaurant Kiosko Universal  - Mercat de Sant Josep -  La Boqueria	Carrer la Rambla 89-LB	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933178286						
Restaurant Achépa'ti	Carrer Castillejos 208	Eixample	08013	BARCELONA	ESPANYA	+34 932450865						
Bar Can Fanal	Gombau 0014	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933150113						
Cafeteria Restaurant Buenas Migas - Illa Diagonal	Av Diagonal 555-559	Les Corts	08029	BARCELONA	ESPANYA	+34 934442989		http://www.buenasmigas.com				
Restaurant Marc Blau	Carrer Roger de Llúria 23 bxs	Eixample	08010	BARCELONA	ESPANYA	+34 933015119	+34 933424789	http://www.marcblau.com	info@marcblau.com			
Restaurant La Reina	Carrer Sant Antoni Sombrerers 3	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933195371						
